Training Details:
Episode 255: Reward -44.17, Steps 1440, Epsilon 0.46
Episode 256: Reward -46.03, Steps 1440, Epsilon 0.45
Episode 257: Reward -43.21, Steps 1440, Epsilon 0.45
Episode 258: Reward -46.88, Steps 1440, Epsilon 0.45
Episode 259: Reward -47.66, Steps 1440, Epsilon 0.45
Episode 260: Reward -47.10, Steps 1440, Epsilon 0.45
Episode 261: Reward -44.71, Steps 1440, Epsilon 0.45
Episode 262: Reward -44.81, Steps 1440, Epsilon 0.45
Episode 263: Reward -45.72, Steps 1440, Epsilon 0.45
Episode 264: Reward -46.38, Steps 1440, Epsilon 0.44
Episode 265: Reward -44.08, Steps 1440, Epsilon 0.44
Episode 266: Reward -47.11, Steps 1440, Epsilon 0.44
Episode 267: Reward -45.83, Steps 1440, Epsilon 0.44
Episode 268: Reward -46.08, Steps 1440, Epsilon 0.44
Episode 269: Reward -43.94, Steps 1440, Epsilon 0.44
Episode 270: Reward -45.89, Steps 1440, Epsilon 0.44
Episode 271: Reward -47.30, Steps 1440, Epsilon 0.43
Episode 272: Reward -44.35, Steps 1440, Epsilon 0.43
Episode 273: Reward -44.57, Steps 1440, Epsilon 0.43
Episode 274: Reward -45.30, Steps 1440, Epsilon 0.43
Episode 275: Reward -44.45, Steps 1440, Epsilon 0.43
Episode 276: Reward -46.97, Steps 1440, Epsilon 0.43
Episode 277: Reward -45.68, Steps 1440, Epsilon 0.43
Episode 278: Reward -42.66, Steps 1440, Epsilon 0.43
Episode 279: Reward -46.40, Steps 1440, Epsilon 0.42
Episode 280: Reward -43.73, Steps 1440, Epsilon 0.42
Episode 281: Reward -43.77, Steps 1440, Epsilon 0.42
Episode 282: Reward -44.13, Steps 1440, Epsilon 0.42
Episode 283: Reward -43.49, Steps 1440, Epsilon 0.42
Episode 284: Reward -43.06, Steps 1440, Epsilon 0.42
Episode 285: Reward -43.90, Steps 1440, Epsilon 0.42
Episode 286: Reward -42.89, Steps 1440, Epsilon 0.42
Episode 287: Reward -43.78, Steps 1440, Epsilon 0.41
Episode 288: Reward -44.79, Steps 1440, Epsilon 0.41
Episode 289: Reward -44.86, Steps 1440, Epsilon 0.41
Episode 290: Reward -43.59, Steps 1440, Epsilon 0.41
Episode 291: Reward -44.10, Steps 1440, Epsilon 0.41
