Training Details:
Episode 267: Reward -23.61, Steps 288, Epsilon 0.92
Episode 268: Reward -25.62, Steps 288, Epsilon 0.92
Episode 269: Reward -22.71, Steps 288, Epsilon 0.92
Episode 270: Reward -25.80, Steps 288, Epsilon 0.92
Episode 271: Reward -24.91, Steps 288, Epsilon 0.92
Episode 272: Reward -22.09, Steps 288, Epsilon 0.92
Episode 273: Reward -24.63, Steps 288, Epsilon 0.92
Episode 274: Reward -25.57, Steps 288, Epsilon 0.92
Episode 275: Reward -23.14, Steps 288, Epsilon 0.92
Episode 276: Reward -23.23, Steps 288, Epsilon 0.92
Episode 277: Reward -25.66, Steps 288, Epsilon 0.92
Episode 278: Reward -25.86, Steps 288, Epsilon 0.92
Episode 279: Reward -29.25, Steps 288, Epsilon 0.92
Episode 280: Reward -26.05, Steps 288, Epsilon 0.92
Episode 281: Reward -26.09, Steps 288, Epsilon 0.92
Episode 282: Reward -26.06, Steps 288, Epsilon 0.91
Episode 283: Reward -26.01, Steps 288, Epsilon 0.91
Episode 284: Reward -25.48, Steps 288, Epsilon 0.91
Episode 285: Reward -23.28, Steps 288, Epsilon 0.91
Episode 286: Reward -26.22, Steps 288, Epsilon 0.91
Episode 287: Reward -26.53, Steps 288, Epsilon 0.91
Episode 288: Reward -23.07, Steps 288, Epsilon 0.91
Episode 289: Reward -25.59, Steps 288, Epsilon 0.91
Episode 290: Reward -28.09, Steps 288, Epsilon 0.91
Episode 291: Reward -23.62, Steps 288, Epsilon 0.91
Episode 292: Reward -24.36, Steps 288, Epsilon 0.91
Episode 293: Reward -23.66, Steps 288, Epsilon 0.91
Episode 294: Reward -27.16, Steps 288, Epsilon 0.91
Episode 295: Reward -24.28, Steps 288, Epsilon 0.91
Episode 296: Reward -25.61, Steps 288, Epsilon 0.91
Episode 297: Reward -22.94, Steps 288, Epsilon 0.91
Episode 298: Reward -25.45, Steps 288, Epsilon 0.91
Episode 299: Reward -26.23, Steps 288, Epsilon 0.91
Episode 300: Reward -26.87, Steps 288, Epsilon 0.91
Episode 301: Reward -23.88, Steps 288, Epsilon 0.91
Episode 302: Reward -27.52, Steps 288, Epsilon 0.91
Episode 303: Reward -25.53, Steps 288, Epsilon 0.91
Episode 304: Reward -25.60, Steps 288, Epsilon 0.91
Episode 305: Reward -27.35, Steps 288, Epsilon 0.91
Episode 306: Reward -26.18, Steps 288, Epsilon 0.91
Episode 307: Reward -27.32, Steps 288, Epsilon 0.91
Episode 308: Reward -26.68, Steps 288, Epsilon 0.91
Episode 309: Reward -27.25, Steps 288, Epsilon 0.91
Episode 310: Reward -26.48, Steps 288, Epsilon 0.91
Episode 311: Reward -23.25, Steps 288, Epsilon 0.91
Episode 312: Reward -24.73, Steps 288, Epsilon 0.91
Episode 313: Reward -24.93, Steps 288, Epsilon 0.91
Episode 314: Reward -24.62, Steps 288, Epsilon 0.91
Episode 315: Reward -26.65, Steps 288, Epsilon 0.91
Episode 316: Reward -22.99, Steps 288, Epsilon 0.91
Episode 317: Reward -27.37, Steps 288, Epsilon 0.90
Episode 318: Reward -29.36, Steps 288, Epsilon 0.90
Episode 319: Reward -23.50, Steps 288, Epsilon 0.90
Episode 320: Reward -22.42, Steps 288, Epsilon 0.90
Episode 321: Reward -24.51, Steps 288, Epsilon 0.90
Episode 322: Reward -23.01, Steps 288, Epsilon 0.90
Episode 323: Reward -26.51, Steps 288, Epsilon 0.90
Episode 324: Reward -22.73, Steps 288, Epsilon 0.90
Episode 325: Reward -24.90, Steps 288, Epsilon 0.90
Episode 326: Reward -26.20, Steps 288, Epsilon 0.90
Episode 327: Reward -24.64, Steps 288, Epsilon 0.90
Episode 328: Reward -26.63, Steps 288, Epsilon 0.90
Episode 329: Reward -21.22, Steps 288, Epsilon 0.90
Episode 330: Reward -25.06, Steps 288, Epsilon 0.90
Episode 331: Reward -27.80, Steps 288, Epsilon 0.90
Episode 332: Reward -24.82, Steps 288, Epsilon 0.90
Episode 333: Reward -26.85, Steps 288, Epsilon 0.90
Episode 334: Reward -23.79, Steps 288, Epsilon 0.90
Episode 335: Reward -23.50, Steps 288, Epsilon 0.90
Episode 336: Reward -23.37, Steps 288, Epsilon 0.90
Episode 337: Reward -26.86, Steps 288, Epsilon 0.90
Episode 338: Reward -27.33, Steps 288, Epsilon 0.90
Episode 339: Reward -24.57, Steps 288, Epsilon 0.90
Episode 340: Reward -26.69, Steps 288, Epsilon 0.90
Episode 341: Reward -25.79, Steps 288, Epsilon 0.90
Episode 342: Reward -27.32, Steps 288, Epsilon 0.90
Episode 343: Reward -27.64, Steps 288, Epsilon 0.90
Episode 344: Reward -20.33, Steps 288, Epsilon 0.90
Episode 345: Reward -23.62, Steps 288, Epsilon 0.90
Episode 346: Reward -25.18, Steps 288, Epsilon 0.90
Episode 347: Reward -26.20, Steps 288, Epsilon 0.90
Episode 348: Reward -22.41, Steps 288, Epsilon 0.90
Episode 349: Reward -25.72, Steps 288, Epsilon 0.90
Episode 350: Reward -25.94, Steps 288, Epsilon 0.90
Episode 351: Reward -25.99, Steps 288, Epsilon 0.90
Episode 352: Reward -23.16, Steps 288, Epsilon 0.89
Episode 353: Reward -24.47, Steps 288, Epsilon 0.89
Episode 354: Reward -23.34, Steps 288, Epsilon 0.89
Episode 355: Reward -24.57, Steps 288, Epsilon 0.89
Episode 356: Reward -26.15, Steps 288, Epsilon 0.89
Episode 357: Reward -25.07, Steps 288, Epsilon 0.89
