Training Details:
Episode 339: Reward -41.39, Steps 1440, Epsilon 0.36
Episode 340: Reward -39.19, Steps 1440, Epsilon 0.36
Episode 341: Reward -38.31, Steps 1440, Epsilon 0.35
Episode 342: Reward -33.97, Steps 1440, Epsilon 0.35
Episode 343: Reward -39.62, Steps 1440, Epsilon 0.35
Episode 344: Reward -39.21, Steps 1440, Epsilon 0.35
Episode 345: Reward -39.49, Steps 1440, Epsilon 0.35
Episode 346: Reward -37.67, Steps 1440, Epsilon 0.35
Episode 347: Reward -38.19, Steps 1440, Epsilon 0.35
Episode 348: Reward -41.71, Steps 1440, Epsilon 0.35
Episode 349: Reward -39.94, Steps 1440, Epsilon 0.35
Episode 350: Reward -40.67, Steps 1440, Epsilon 0.35
Episode 351: Reward -39.07, Steps 1440, Epsilon 0.34
Episode 352: Reward -37.74, Steps 1440, Epsilon 0.34
Episode 353: Reward -38.12, Steps 1440, Epsilon 0.34
Episode 354: Reward -35.34, Steps 1440, Epsilon 0.34
Episode 355: Reward -37.13, Steps 1440, Epsilon 0.34
Episode 356: Reward -35.41, Steps 1440, Epsilon 0.34
Episode 357: Reward -33.71, Steps 1440, Epsilon 0.34
Episode 358: Reward -34.65, Steps 1440, Epsilon 0.34
Episode 359: Reward -35.54, Steps 1440, Epsilon 0.34
Episode 360: Reward -37.38, Steps 1440, Epsilon 0.34
Episode 361: Reward -36.15, Steps 1440, Epsilon 0.34
Episode 362: Reward -35.49, Steps 1440, Epsilon 0.33
Episode 363: Reward -39.35, Steps 1440, Epsilon 0.33
Episode 364: Reward -40.22, Steps 1440, Epsilon 0.33
Episode 365: Reward -35.68, Steps 1440, Epsilon 0.33
Episode 366: Reward -38.14, Steps 1440, Epsilon 0.33
Episode 367: Reward -37.42, Steps 1440, Epsilon 0.33
Episode 368: Reward -37.58, Steps 1440, Epsilon 0.33
Episode 369: Reward -38.19, Steps 1440, Epsilon 0.33
Episode 370: Reward -37.85, Steps 1440, Epsilon 0.33
Episode 371: Reward -36.43, Steps 1440, Epsilon 0.33
Episode 372: Reward -40.12, Steps 1440, Epsilon 0.32
Episode 373: Reward -38.58, Steps 1440, Epsilon 0.32
Episode 374: Reward -38.06, Steps 1440, Epsilon 0.32
Episode 375: Reward -37.04, Steps 1440, Epsilon 0.32
Episode 376: Reward -38.84, Steps 1440, Epsilon 0.32
Episode 377: Reward -40.02, Steps 1440, Epsilon 0.32
Episode 378: Reward -39.45, Steps 1440, Epsilon 0.32
Episode 379: Reward -38.93, Steps 1440, Epsilon 0.32
Episode 380: Reward -40.48, Steps 1440, Epsilon 0.32
Episode 381: Reward -34.93, Steps 1440, Epsilon 0.32
Episode 382: Reward -35.39, Steps 1440, Epsilon 0.32
Episode 383: Reward -37.69, Steps 1440, Epsilon 0.32
Episode 384: Reward -37.13, Steps 1440, Epsilon 0.31
Episode 385: Reward -36.81, Steps 1440, Epsilon 0.31
Episode 386: Reward -33.77, Steps 1440, Epsilon 0.31
