Training Details:
Episode 258: Reward = -13.17, Steps = 288, Epsilon = 0.45
Episode 259: Reward = -11.48, Steps = 288, Epsilon = 0.45
Episode 260: Reward = -14.38, Steps = 288, Epsilon = 0.45
Episode 261: Reward = -15.32, Steps = 288, Epsilon = 0.45
Episode 262: Reward = -14.92, Steps = 288, Epsilon = 0.45
Episode 263: Reward = -12.73, Steps = 288, Epsilon = 0.45
Episode 264: Reward = -14.51, Steps = 288, Epsilon = 0.44
Episode 265: Reward = -13.33, Steps = 288, Epsilon = 0.44
Episode 266: Reward = -14.81, Steps = 288, Epsilon = 0.44
Episode 267: Reward = -13.19, Steps = 288, Epsilon = 0.44
Episode 268: Reward = -13.92, Steps = 288, Epsilon = 0.44
Episode 269: Reward = -12.66, Steps = 288, Epsilon = 0.44
Episode 270: Reward = -14.52, Steps = 288, Epsilon = 0.44
Episode 271: Reward = -13.80, Steps = 288, Epsilon = 0.43
Episode 272: Reward = -13.72, Steps = 288, Epsilon = 0.43
Episode 273: Reward = -12.94, Steps = 288, Epsilon = 0.43
Episode 274: Reward = -14.56, Steps = 288, Epsilon = 0.43
Episode 275: Reward = -12.86, Steps = 288, Epsilon = 0.43
Episode 276: Reward = -14.91, Steps = 288, Epsilon = 0.43
Episode 277: Reward = -13.91, Steps = 288, Epsilon = 0.43
Episode 278: Reward = -12.99, Steps = 288, Epsilon = 0.43
Episode 279: Reward = -13.94, Steps = 288, Epsilon = 0.42
Episode 280: Reward = -14.65, Steps = 288, Epsilon = 0.42
Episode 281: Reward = -12.94, Steps = 288, Epsilon = 0.42
Episode 282: Reward = -10.32, Steps = 288, Epsilon = 0.42
Episode 283: Reward = -12.39, Steps = 288, Epsilon = 0.42
Episode 284: Reward = -11.48, Steps = 288, Epsilon = 0.42
Episode 285: Reward = -11.35, Steps = 288, Epsilon = 0.42
Episode 286: Reward = -12.61, Steps = 288, Epsilon = 0.42
Episode 287: Reward = -9.49, Steps = 288, Epsilon = 0.41
Episode 288: Reward = -12.71, Steps = 288, Epsilon = 0.41
Episode 289: Reward = -11.60, Steps = 288, Epsilon = 0.41
Episode 290: Reward = -12.59, Steps = 288, Epsilon = 0.41
Episode 291: Reward = -11.06, Steps = 288, Epsilon = 0.41
Episode 292: Reward = -12.50, Steps = 288, Epsilon = 0.41
Episode 293: Reward = -12.25, Steps = 288, Epsilon = 0.41
Episode 294: Reward = -12.23, Steps = 288, Epsilon = 0.41
Episode 295: Reward = -11.52, Steps = 288, Epsilon = 0.41
Episode 296: Reward = -11.85, Steps = 288, Epsilon = 0.40
Episode 297: Reward = -11.24, Steps = 288, Epsilon = 0.40
Episode 298: Reward = -12.83, Steps = 288, Epsilon = 0.40
Episode 299: Reward = -14.28, Steps = 288, Epsilon = 0.40
Episode 300: Reward = -14.93, Steps = 288, Epsilon = 0.40
Episode 301: Reward = -11.17, Steps = 288, Epsilon = 0.40
Episode 302: Reward = -12.34, Steps = 288, Epsilon = 0.40
Episode 303: Reward = -12.93, Steps = 288, Epsilon = 0.40
Episode 304: Reward = -12.12, Steps = 288, Epsilon = 0.39
Episode 305: Reward = -10.25, Steps = 288, Epsilon = 0.39
Episode 306: Reward = -11.47, Steps = 288, Epsilon = 0.39
Episode 307: Reward = -13.00, Steps = 288, Epsilon = 0.39
Episode 308: Reward = -12.50, Steps = 288, Epsilon = 0.39
Episode 309: Reward = -12.50, Steps = 288, Epsilon = 0.39
Episode 310: Reward = -12.02, Steps = 288, Epsilon = 0.39
Episode 311: Reward = -11.77, Steps = 288, Epsilon = 0.39
Episode 312: Reward = -12.55, Steps = 288, Epsilon = 0.39
Episode 313: Reward = -12.32, Steps = 288, Epsilon = 0.38
Episode 314: Reward = -12.84, Steps = 288, Epsilon = 0.38
Episode 315: Reward = -14.38, Steps = 288, Epsilon = 0.38
Episode 316: Reward = -13.24, Steps = 288, Epsilon = 0.38
Episode 317: Reward = -12.05, Steps = 288, Epsilon = 0.38
Episode 318: Reward = -10.89, Steps = 288, Epsilon = 0.38
Episode 319: Reward = -12.58, Steps = 288, Epsilon = 0.38
Episode 320: Reward = -12.26, Steps = 288, Epsilon = 0.38
Episode 321: Reward = -11.42, Steps = 288, Epsilon = 0.38
Episode 322: Reward = -11.23, Steps = 288, Epsilon = 0.37
Episode 323: Reward = -15.20, Steps = 288, Epsilon = 0.37
Episode 324: Reward = -9.78, Steps = 288, Epsilon = 0.37
Episode 325: Reward = -10.83, Steps = 288, Epsilon = 0.37
Episode 326: Reward = -9.24, Steps = 288, Epsilon = 0.37
Episode 327: Reward = -12.33, Steps = 288, Epsilon = 0.37
Episode 328: Reward = -13.72, Steps = 288, Epsilon = 0.37
Episode 329: Reward = -9.15, Steps = 288, Epsilon = 0.37
Episode 330: Reward = -10.84, Steps = 288, Epsilon = 0.37
Episode 331: Reward = -10.12, Steps = 288, Epsilon = 0.37
Episode 332: Reward = -10.64, Steps = 288, Epsilon = 0.36
Episode 333: Reward = -13.61, Steps = 288, Epsilon = 0.36
Episode 334: Reward = -12.02, Steps = 288, Epsilon = 0.36
Episode 335: Reward = -9.16, Steps = 288, Epsilon = 0.36
Episode 336: Reward = -12.44, Steps = 288, Epsilon = 0.36
Episode 337: Reward = -10.20, Steps = 288, Epsilon = 0.36
Episode 338: Reward = -10.56, Steps = 288, Epsilon = 0.36
Episode 339: Reward = -9.26, Steps = 288, Epsilon = 0.36
Episode 340: Reward = -14.15, Steps = 288, Epsilon = 0.36
Episode 341: Reward = -14.28, Steps = 288, Epsilon = 0.35
Episode 342: Reward = -13.45, Steps = 288, Epsilon = 0.35
Episode 343: Reward = -9.52, Steps = 288, Epsilon = 0.35
Episode 344: Reward = -9.53, Steps = 288, Epsilon = 0.35
Episode 345: Reward = -12.79, Steps = 288, Epsilon = 0.35
Episode 346: Reward = -12.36, Steps = 288, Epsilon = 0.35
Episode 347: Reward = -11.01, Steps = 288, Epsilon = 0.35
Episode 348: Reward = -8.78, Steps = 288, Epsilon = 0.35
Episode 349: Reward = -12.77, Steps = 288, Epsilon = 0.35
Episode 350: Reward = -12.05, Steps = 288, Epsilon = 0.35
Episode 351: Reward = -12.18, Steps = 288, Epsilon = 0.34
Episode 352: Reward = -10.91, Steps = 288, Epsilon = 0.34
Episode 353: Reward = -11.18, Steps = 288, Epsilon = 0.34
Episode 354: Reward = -11.16, Steps = 288, Epsilon = 0.34
Episode 355: Reward = -10.37, Steps = 288, Epsilon = 0.34
Episode 356: Reward = -11.42, Steps = 288, Epsilon = 0.34
Episode 357: Reward = -10.67, Steps = 288, Epsilon = 0.34
Episode 358: Reward = -8.15, Steps = 288, Epsilon = 0.34
Episode 359: Reward = -8.73, Steps = 288, Epsilon = 0.34
Episode 360: Reward = -9.17, Steps = 288, Epsilon = 0.34
Episode 361: Reward = -8.69, Steps = 288, Epsilon = 0.34
Episode 362: Reward = -10.70, Steps = 288, Epsilon = 0.33
Episode 363: Reward = -12.43, Steps = 288, Epsilon = 0.33
Episode 364: Reward = -7.58, Steps = 288, Epsilon = 0.33
Episode 365: Reward = -9.43, Steps = 288, Epsilon = 0.33
Episode 366: Reward = -10.80, Steps = 288, Epsilon = 0.33
Episode 367: Reward = -8.01, Steps = 288, Epsilon = 0.33
Episode 368: Reward = -8.19, Steps = 288, Epsilon = 0.33
Episode 369: Reward = -10.93, Steps = 288, Epsilon = 0.33
Episode 370: Reward = -7.60, Steps = 288, Epsilon = 0.33
Episode 371: Reward = -10.51, Steps = 288, Epsilon = 0.33
Episode 372: Reward = -10.83, Steps = 288, Epsilon = 0.32
Episode 373: Reward = -8.18, Steps = 288, Epsilon = 0.32
Episode 374: Reward = -7.99, Steps = 288, Epsilon = 0.32
Episode 375: Reward = -12.65, Steps = 288, Epsilon = 0.32
Episode 376: Reward = -9.77, Steps = 288, Epsilon = 0.32
Episode 377: Reward = -11.38, Steps = 288, Epsilon = 0.32
Episode 378: Reward = -13.10, Steps = 288, Epsilon = 0.32
Episode 379: Reward = -10.29, Steps = 288, Epsilon = 0.32
Episode 380: Reward = -10.89, Steps = 288, Epsilon = 0.32
Episode 381: Reward = -12.15, Steps = 288, Epsilon = 0.32
Episode 382: Reward = -9.40, Steps = 288, Epsilon = 0.32
Episode 383: Reward = -9.29, Steps = 288, Epsilon = 0.32
Episode 384: Reward = -8.92, Steps = 288, Epsilon = 0.31
Episode 385: Reward = -9.69, Steps = 288, Epsilon = 0.31
Episode 386: Reward = -9.98, Steps = 288, Epsilon = 0.31
Episode 387: Reward = -10.01, Steps = 288, Epsilon = 0.31
Episode 388: Reward = -10.32, Steps = 288, Epsilon = 0.31
Episode 389: Reward = -12.15, Steps = 288, Epsilon = 0.31
Episode 390: Reward = -9.97, Steps = 288, Epsilon = 0.31
Episode 391: Reward = -13.28, Steps = 288, Epsilon = 0.31
Episode 392: Reward = -11.18, Steps = 288, Epsilon = 0.31
Episode 393: Reward = -10.38, Steps = 288, Epsilon = 0.31
Episode 394: Reward = -8.63, Steps = 288, Epsilon = 0.31
Episode 395: Reward = -11.92, Steps = 288, Epsilon = 0.30
Episode 396: Reward = -12.44, Steps = 288, Epsilon = 0.30
Episode 397: Reward = -8.74, Steps = 288, Epsilon = 0.30
Episode 398: Reward = -11.01, Steps = 288, Epsilon = 0.30
Episode 399: Reward = -10.72, Steps = 288, Epsilon = 0.30
Episode 400: Reward = -7.96, Steps = 288, Epsilon = 0.30
Episode 401: Reward = -9.95, Steps = 288, Epsilon = 0.30
Episode 402: Reward = -11.49, Steps = 288, Epsilon = 0.30
Episode 403: Reward = -12.81, Steps = 288, Epsilon = 0.30
Episode 404: Reward = -12.46, Steps = 288, Epsilon = 0.30
Episode 405: Reward = -11.19, Steps = 288, Epsilon = 0.30
Episode 406: Reward = -8.16, Steps = 288, Epsilon = 0.30
Episode 407: Reward = -8.93, Steps = 288, Epsilon = 0.29
Episode 408: Reward = -10.14, Steps = 288, Epsilon = 0.29
Episode 409: Reward = -6.79, Steps = 288, Epsilon = 0.29
Episode 410: Reward = -10.34, Steps = 288, Epsilon = 0.29
Episode 411: Reward = -9.68, Steps = 288, Epsilon = 0.29
Episode 412: Reward = -10.06, Steps = 288, Epsilon = 0.29
Episode 413: Reward = -8.84, Steps = 288, Epsilon = 0.29
Episode 414: Reward = -9.38, Steps = 288, Epsilon = 0.29
Episode 415: Reward = -10.29, Steps = 288, Epsilon = 0.29
Episode 416: Reward = -10.63, Steps = 288, Epsilon = 0.29
Episode 417: Reward = -8.73, Steps = 288, Epsilon = 0.29
Episode 418: Reward = -11.39, Steps = 288, Epsilon = 0.29
Episode 419: Reward = -11.04, Steps = 288, Epsilon = 0.29
Episode 420: Reward = -12.52, Steps = 288, Epsilon = 0.28
Episode 421: Reward = -8.17, Steps = 288, Epsilon = 0.28
Episode 422: Reward = -10.81, Steps = 288, Epsilon = 0.28
