Training Details:
Episode 335: Reward = -8.97, Steps = 288, Epsilon = 0.36
Episode 336: Reward = -8.77, Steps = 288, Epsilon = 0.36
Episode 337: Reward = -11.21, Steps = 288, Epsilon = 0.36
Episode 338: Reward = -11.52, Steps = 288, Epsilon = 0.36
Episode 339: Reward = -10.25, Steps = 288, Epsilon = 0.36
Episode 340: Reward = -10.05, Steps = 288, Epsilon = 0.36
Episode 341: Reward = -8.04, Steps = 288, Epsilon = 0.35
Episode 342: Reward = -11.22, Steps = 288, Epsilon = 0.35
Episode 343: Reward = -8.70, Steps = 288, Epsilon = 0.35
Episode 344: Reward = -7.04, Steps = 288, Epsilon = 0.35
Episode 345: Reward = -9.51, Steps = 288, Epsilon = 0.35
Episode 346: Reward = -8.84, Steps = 288, Epsilon = 0.35
Episode 347: Reward = -7.83, Steps = 288, Epsilon = 0.35
Episode 348: Reward = -9.99, Steps = 288, Epsilon = 0.35
Episode 349: Reward = -9.58, Steps = 288, Epsilon = 0.35
Episode 350: Reward = -9.88, Steps = 288, Epsilon = 0.35
Episode 351: Reward = -9.85, Steps = 288, Epsilon = 0.34
Episode 352: Reward = -10.68, Steps = 288, Epsilon = 0.34
Episode 353: Reward = -7.41, Steps = 288, Epsilon = 0.34
Episode 354: Reward = -7.47, Steps = 288, Epsilon = 0.34
Episode 355: Reward = -7.96, Steps = 288, Epsilon = 0.34
Episode 356: Reward = -7.22, Steps = 288, Epsilon = 0.34
Episode 357: Reward = -8.61, Steps = 288, Epsilon = 0.34
Episode 358: Reward = -8.85, Steps = 288, Epsilon = 0.34
Episode 359: Reward = -6.82, Steps = 288, Epsilon = 0.34
Episode 360: Reward = -7.95, Steps = 288, Epsilon = 0.34
Episode 361: Reward = -8.00, Steps = 288, Epsilon = 0.34
Episode 362: Reward = -10.03, Steps = 288, Epsilon = 0.33
Episode 363: Reward = -10.65, Steps = 288, Epsilon = 0.33
Episode 364: Reward = -5.19, Steps = 288, Epsilon = 0.33
Episode 365: Reward = -7.24, Steps = 288, Epsilon = 0.33
Episode 366: Reward = -8.13, Steps = 288, Epsilon = 0.33
Episode 367: Reward = -10.31, Steps = 288, Epsilon = 0.33
Episode 368: Reward = -10.27, Steps = 288, Epsilon = 0.33
Episode 369: Reward = -8.83, Steps = 288, Epsilon = 0.33
Episode 370: Reward = -7.34, Steps = 288, Epsilon = 0.33
Episode 371: Reward = -10.30, Steps = 288, Epsilon = 0.33
Episode 372: Reward = -7.68, Steps = 288, Epsilon = 0.32
Episode 373: Reward = -6.74, Steps = 288, Epsilon = 0.32
Episode 374: Reward = -7.93, Steps = 288, Epsilon = 0.32
Episode 375: Reward = -6.43, Steps = 288, Epsilon = 0.32
Episode 376: Reward = -9.24, Steps = 288, Epsilon = 0.32
Episode 377: Reward = -10.32, Steps = 288, Epsilon = 0.32
Episode 378: Reward = -8.01, Steps = 288, Epsilon = 0.32
Episode 379: Reward = -7.55, Steps = 288, Epsilon = 0.32
Episode 380: Reward = -7.48, Steps = 288, Epsilon = 0.32
Episode 381: Reward = -6.97, Steps = 288, Epsilon = 0.32
Episode 382: Reward = -8.19, Steps = 288, Epsilon = 0.32
Episode 383: Reward = -10.22, Steps = 288, Epsilon = 0.32
Episode 384: Reward = -7.65, Steps = 288, Epsilon = 0.31
Episode 385: Reward = -8.69, Steps = 288, Epsilon = 0.31
Episode 386: Reward = -8.04, Steps = 288, Epsilon = 0.31
Episode 387: Reward = -5.38, Steps = 288, Epsilon = 0.31
Episode 388: Reward = -6.41, Steps = 288, Epsilon = 0.31
Episode 389: Reward = -7.56, Steps = 288, Epsilon = 0.31
Episode 390: Reward = -7.75, Steps = 288, Epsilon = 0.31
Episode 391: Reward = -6.88, Steps = 288, Epsilon = 0.31
Episode 392: Reward = -7.98, Steps = 288, Epsilon = 0.31
Episode 393: Reward = -10.06, Steps = 288, Epsilon = 0.31
Episode 394: Reward = -8.90, Steps = 288, Epsilon = 0.31
Episode 395: Reward = -9.88, Steps = 288, Epsilon = 0.30
Episode 396: Reward = -5.77, Steps = 288, Epsilon = 0.30
Episode 397: Reward = -8.90, Steps = 288, Epsilon = 0.30
Episode 398: Reward = -7.35, Steps = 288, Epsilon = 0.30
Episode 399: Reward = -7.45, Steps = 288, Epsilon = 0.30
Episode 400: Reward = -8.96, Steps = 288, Epsilon = 0.30
Episode 401: Reward = -8.16, Steps = 288, Epsilon = 0.30
Episode 402: Reward = -9.59, Steps = 288, Epsilon = 0.30
Episode 403: Reward = -8.01, Steps = 288, Epsilon = 0.30
Episode 404: Reward = -7.64, Steps = 288, Epsilon = 0.30
Episode 405: Reward = -6.45, Steps = 288, Epsilon = 0.30
Episode 406: Reward = -7.30, Steps = 288, Epsilon = 0.30
Episode 407: Reward = -6.09, Steps = 288, Epsilon = 0.29
Episode 408: Reward = -5.27, Steps = 288, Epsilon = 0.29
Episode 409: Reward = -6.12, Steps = 288, Epsilon = 0.29
Episode 410: Reward = -7.36, Steps = 288, Epsilon = 0.29
Episode 411: Reward = -7.19, Steps = 288, Epsilon = 0.29
Episode 412: Reward = -8.39, Steps = 288, Epsilon = 0.29
Episode 413: Reward = -8.15, Steps = 288, Epsilon = 0.29
Episode 414: Reward = -9.09, Steps = 288, Epsilon = 0.29
Episode 415: Reward = -7.05, Steps = 288, Epsilon = 0.29
Episode 416: Reward = -6.14, Steps = 288, Epsilon = 0.29
Episode 417: Reward = -9.35, Steps = 288, Epsilon = 0.29
Episode 418: Reward = -5.74, Steps = 288, Epsilon = 0.29
Episode 419: Reward = -9.25, Steps = 288, Epsilon = 0.29
Episode 420: Reward = -7.28, Steps = 288, Epsilon = 0.28
Episode 421: Reward = -7.49, Steps = 288, Epsilon = 0.28
Episode 422: Reward = -6.60, Steps = 288, Epsilon = 0.28
