Training Details:
Episode 326: Reward -267.59, Steps 8640, Epsilon 0.37
Episode 327: Reward -264.85, Steps 8640, Epsilon 0.37
Episode 328: Reward -263.38, Steps 8640, Epsilon 0.37
Episode 329: Reward -265.83, Steps 8640, Epsilon 0.37
Episode 330: Reward -262.16, Steps 8640, Epsilon 0.37
Episode 331: Reward -265.11, Steps 8640, Epsilon 0.37
Episode 332: Reward -269.02, Steps 8640, Epsilon 0.36
Episode 333: Reward -265.22, Steps 8640, Epsilon 0.36
Episode 334: Reward -265.70, Steps 8640, Epsilon 0.36
Episode 335: Reward -265.87, Steps 8640, Epsilon 0.36
Episode 336: Reward -258.18, Steps 8640, Epsilon 0.36
Episode 337: Reward -257.98, Steps 8640, Epsilon 0.36
Episode 338: Reward -270.16, Steps 8640, Epsilon 0.36
Episode 339: Reward -265.98, Steps 8640, Epsilon 0.36
Episode 340: Reward -257.62, Steps 8640, Epsilon 0.36
Episode 341: Reward -261.18, Steps 8640, Epsilon 0.35
Episode 342: Reward -264.48, Steps 8640, Epsilon 0.35
Episode 343: Reward -262.83, Steps 8640, Epsilon 0.35
Episode 344: Reward -250.77, Steps 8640, Epsilon 0.35
Episode 345: Reward -255.71, Steps 8640, Epsilon 0.35
Episode 346: Reward -259.03, Steps 8640, Epsilon 0.35
Episode 347: Reward -259.96, Steps 8640, Epsilon 0.35
Episode 348: Reward -258.49, Steps 8640, Epsilon 0.35
Episode 349: Reward -251.49, Steps 8640, Epsilon 0.35
Episode 350: Reward -261.62, Steps 8640, Epsilon 0.35
Episode 351: Reward -254.22, Steps 8640, Epsilon 0.34
Episode 352: Reward -261.65, Steps 8640, Epsilon 0.34
Episode 353: Reward -257.55, Steps 8640, Epsilon 0.34
Episode 354: Reward -264.02, Steps 8640, Epsilon 0.34
Episode 355: Reward -258.06, Steps 8640, Epsilon 0.34
Episode 356: Reward -256.22, Steps 8640, Epsilon 0.34
Episode 357: Reward -260.85, Steps 8640, Epsilon 0.34
Episode 358: Reward -263.66, Steps 8640, Epsilon 0.34
Episode 359: Reward -261.92, Steps 8640, Epsilon 0.34
Episode 360: Reward -257.80, Steps 8640, Epsilon 0.34
Episode 361: Reward -262.82, Steps 8640, Epsilon 0.34
Episode 362: Reward -258.84, Steps 8640, Epsilon 0.33
Episode 363: Reward -250.91, Steps 8640, Epsilon 0.33
Episode 364: Reward -253.71, Steps 8640, Epsilon 0.33
Episode 365: Reward -253.79, Steps 8640, Epsilon 0.33
Episode 366: Reward -252.99, Steps 8640, Epsilon 0.33
Episode 367: Reward -250.01, Steps 8640, Epsilon 0.33
Episode 368: Reward -249.70, Steps 8640, Epsilon 0.33
Episode 369: Reward -248.91, Steps 8640, Epsilon 0.33
Episode 370: Reward -257.39, Steps 8640, Epsilon 0.33
Episode 371: Reward -255.29, Steps 8640, Epsilon 0.33
Episode 372: Reward -262.64, Steps 8640, Epsilon 0.32
Episode 373: Reward -253.73, Steps 8640, Epsilon 0.32
Episode 374: Reward -258.97, Steps 8640, Epsilon 0.32
Episode 375: Reward -247.52, Steps 8640, Epsilon 0.32
Episode 376: Reward -249.13, Steps 8640, Epsilon 0.32
Episode 377: Reward -257.41, Steps 8640, Epsilon 0.32
Episode 378: Reward -256.86, Steps 8640, Epsilon 0.32
Episode 379: Reward -252.86, Steps 8640, Epsilon 0.32
Episode 380: Reward -250.45, Steps 8640, Epsilon 0.32
Episode 381: Reward -247.90, Steps 8640, Epsilon 0.32
Episode 382: Reward -247.92, Steps 8640, Epsilon 0.32
Episode 383: Reward -245.28, Steps 8640, Epsilon 0.32
Episode 384: Reward -249.40, Steps 8640, Epsilon 0.31
Episode 385: Reward -246.30, Steps 8640, Epsilon 0.31
Episode 386: Reward -254.65, Steps 8640, Epsilon 0.31
Episode 387: Reward -255.07, Steps 8640, Epsilon 0.31
Episode 388: Reward -249.04, Steps 8640, Epsilon 0.31
Episode 389: Reward -247.15, Steps 8640, Epsilon 0.31
Episode 390: Reward -239.34, Steps 8640, Epsilon 0.31
Episode 391: Reward -246.19, Steps 8640, Epsilon 0.31
Episode 392: Reward -247.76, Steps 8640, Epsilon 0.31
Episode 393: Reward -244.28, Steps 8640, Epsilon 0.31
Episode 394: Reward -248.17, Steps 8640, Epsilon 0.31
Episode 395: Reward -244.99, Steps 8640, Epsilon 0.30
Episode 396: Reward -249.57, Steps 8640, Epsilon 0.30
Episode 397: Reward -258.16, Steps 8640, Epsilon 0.30
Episode 398: Reward -252.78, Steps 8640, Epsilon 0.30
Episode 399: Reward -249.20, Steps 8640, Epsilon 0.30
Episode 400: Reward -249.02, Steps 8640, Epsilon 0.30
Episode 401: Reward -245.46, Steps 8640, Epsilon 0.30
Episode 402: Reward -247.43, Steps 8640, Epsilon 0.30
Episode 403: Reward -245.60, Steps 8640, Epsilon 0.30
Episode 404: Reward -243.92, Steps 8640, Epsilon 0.30
Episode 405: Reward -245.51, Steps 8640, Epsilon 0.30
