Training Details:
Episode 402: Reward -18.16, Steps 288, Epsilon 0.30
Episode 403: Reward -21.69, Steps 288, Epsilon 0.30
Episode 404: Reward -28.32, Steps 288, Epsilon 0.30
Episode 405: Reward -22.35, Steps 288, Epsilon 0.30
Episode 406: Reward -19.05, Steps 288, Epsilon 0.30
Episode 407: Reward -21.26, Steps 288, Epsilon 0.29
Episode 408: Reward -19.03, Steps 288, Epsilon 0.29
Episode 409: Reward -21.48, Steps 288, Epsilon 0.29
Episode 410: Reward -18.01, Steps 288, Epsilon 0.29
Episode 411: Reward -23.20, Steps 288, Epsilon 0.29
Episode 412: Reward -17.22, Steps 288, Epsilon 0.29
Episode 413: Reward -21.39, Steps 288, Epsilon 0.29
Episode 414: Reward -17.23, Steps 288, Epsilon 0.29
Episode 415: Reward -20.24, Steps 288, Epsilon 0.29
Episode 416: Reward -26.42, Steps 288, Epsilon 0.29
Episode 417: Reward -18.56, Steps 288, Epsilon 0.29
Episode 418: Reward -14.44, Steps 288, Epsilon 0.29
Episode 419: Reward -16.60, Steps 288, Epsilon 0.29
Episode 420: Reward -22.16, Steps 288, Epsilon 0.28
Episode 421: Reward -24.84, Steps 288, Epsilon 0.28
Episode 422: Reward -19.26, Steps 288, Epsilon 0.28
Episode 423: Reward -22.95, Steps 288, Epsilon 0.28
Episode 424: Reward -29.25, Steps 288, Epsilon 0.28
Episode 425: Reward -19.67, Steps 288, Epsilon 0.28
Episode 426: Reward -23.12, Steps 288, Epsilon 0.28
Episode 427: Reward -19.05, Steps 288, Epsilon 0.28
Episode 428: Reward -20.74, Steps 288, Epsilon 0.28
Episode 429: Reward -15.82, Steps 288, Epsilon 0.28
Episode 430: Reward -23.19, Steps 288, Epsilon 0.28
Episode 431: Reward -22.68, Steps 288, Epsilon 0.28
Episode 432: Reward -21.25, Steps 288, Epsilon 0.28
Episode 433: Reward -22.36, Steps 288, Epsilon 0.27
Episode 434: Reward -16.85, Steps 288, Epsilon 0.27
Episode 435: Reward -24.92, Steps 288, Epsilon 0.27
Episode 436: Reward -18.52, Steps 288, Epsilon 0.27
Episode 437: Reward -18.85, Steps 288, Epsilon 0.27
Episode 438: Reward -21.48, Steps 288, Epsilon 0.27
Episode 439: Reward -16.76, Steps 288, Epsilon 0.27
Episode 440: Reward -24.14, Steps 288, Epsilon 0.27
Episode 441: Reward -21.23, Steps 288, Epsilon 0.27
Episode 442: Reward -19.47, Steps 288, Epsilon 0.27
Episode 443: Reward -18.17, Steps 288, Epsilon 0.27
Episode 444: Reward -17.92, Steps 288, Epsilon 0.27
Episode 445: Reward -21.02, Steps 288, Epsilon 0.27
Episode 446: Reward -21.51, Steps 288, Epsilon 0.26
Episode 447: Reward -25.51, Steps 288, Epsilon 0.26
Episode 448: Reward -21.56, Steps 288, Epsilon 0.26
Episode 449: Reward -26.08, Steps 288, Epsilon 0.26
Episode 450: Reward -20.66, Steps 288, Epsilon 0.26
Episode 451: Reward -25.45, Steps 288, Epsilon 0.26
Episode 452: Reward -21.80, Steps 288, Epsilon 0.26
Episode 453: Reward -23.15, Steps 288, Epsilon 0.26
Episode 454: Reward -26.49, Steps 288, Epsilon 0.26
Episode 455: Reward -15.83, Steps 288, Epsilon 0.26
Episode 456: Reward -21.36, Steps 288, Epsilon 0.26
Episode 457: Reward -22.29, Steps 288, Epsilon 0.26
Episode 458: Reward -22.16, Steps 288, Epsilon 0.26
Episode 459: Reward -23.74, Steps 288, Epsilon 0.26
Episode 460: Reward -22.29, Steps 288, Epsilon 0.26
Episode 461: Reward -19.41, Steps 288, Epsilon 0.25
Episode 462: Reward -25.40, Steps 288, Epsilon 0.25
Episode 463: Reward -17.95, Steps 288, Epsilon 0.25
Episode 464: Reward -23.66, Steps 288, Epsilon 0.25
